Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
208,,10:44,10:46,644,646,"John: ""Uh, Afghanistan, sorry, how did you-?""", ,,Indoor,M,"Sherlock, John","Sherlock, John",John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
209,,10:46,10:49,646,649,"Molly walks in while John is talking and Sherlock looks up, shuts down Johns phone, hands it back and  interrupts John saying: ""Ah Molly, coffee. Thank you.""", ,,Indoor,"M, G","Sherlock, John, Molly","Sherlock, John, Molly",Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
210,,10:49,10:50,649,650,"Sherlock takes his coffee from Molly looks at Molly and asks: ""What happened to the lipstick?""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
211,,10:50,10:52,650,652,"Molly replies shyly: ""It wasn't working with me."" as she hands a brown cup of coffee to Sherlock ", ,,Indoor,"M, G","Sherlock, John, Molly","Sherlock, John, Molly",Molly,Indoor,St. Bartholomew's Hospital Laboratory,"Over the Shoulder, Medium",,Yes,,,4,+
212,,10:52,10:54,652,654,"Sherlock says: ""Really? I thought it was a big improvement."" as he turns around to go back to his station", ,,Indoor,"M, G","Sherlock, John, Molly","Sherlock, John, Molly",Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,"Tracking, Medium",,Yes,,,4,+
213,,10:54,10:56,654,656,"As he is going back Sherlock says: ""Your mouth is too small now."" He makes a gesture denoting ""small""", ,,Indoor,M,"Sherlock, John, Molly",Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,"Tracking, Medium",,Yes,,,4,+
214,,10:56,10:58,656,658,"Sherlock takes a sip of his coffee while walking and grimaces at the taste. Molly says a quiet : ""Okay…""", ,,Indoor,"M, G","Sherlock, Molly",Sherlock,Molly,Indoor,St. Bartholomew's Hospital Laboratory,"Tracking, Medium",,Yes,,,4,+
215,,10:58,10:59,658,659,Sherlock arrives at his station and sets his coffee cup down on the table, ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
216,,10:59,11:01,659,661,"Sherlock asks: ""How do you feel about the violin?"" while looking down at his work ","14. Sherlock asks John questions as potential flatmates when neither John nor Mike have mentioned that John needs a flatmate. John says that they barely know each other when Sherlock rambles on about all that he knows about John. Sherlock gives his full name, the address of the flat and the time to meet the following evening and leaves the laboratory. John is stunned.", ,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
217,,11:01,11:02,661,662,"John looks round Molly, but she is on her way out the door. He glances at Mike.",Segment 216-252,,Indoor,M,"John, Molly",John,,Indoor,St. Bartholomew's Hospital Laboratory,Long,,Yes,,,4,+
218,,11:02,11:04,662,664,Mike looks back smugly at John, ,,Indoor,G,Mike,Mike,,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
219,,11:04,11:06,664,666,"John asks with a puzzled look: ""Sorry, what?""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Long,,Yes,,,4,+
220,,11:06,11:10,666,670,"Sherlock says while typing on a laptop keyboard: "" I play the violin when I'm thinking. Sometimes I don't talk for days on end.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
221,,11:10,11:13,670,673,"Sherlock looks round at John and says: ""Would that bother you? Potential flatmates should know the worst about each other."" He throws a hideously false smile at John", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
222,,11:13,11:15,673,675,John looks at Sherlock blankly for a moment then looks round at Mike, ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
223,,11:15,11:16,675,676,"John looks in Mike's direction and says: ""Oh you…you told him about me?""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
224,,11:16,11:18,676,678,"Mike shakes his head while holding a lab sample and says: ""Not a word.""", ,,Indoor,G,Mike,Mike,Mike,Indoor,St. Bartholomew's Hospital Laboratory,"Over the Shoulder, Medium",,Yes,,,4,+
225,,11:18,11:19,678,679,"John looks down then up round Sherlock and asks: ""Then who said anything about flatmates?""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
226,,11:19,11:21,679,681,"Sherlock has his back to John and as he is grabbing his black coat he says: ""I did.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
227,,11:21,11:28,681,688,"Sherlock continues: ""Told Mike this morning that I must be a difficult man to find a flatmate for. Now here he is just after lunch with an old friend, clearly just home from Afghanistan."" while putting on his coat and grabbing a blue scarf", ,,Indoor,M,"Sherlock,John",Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
228,,11:28,11:30,688,690,"Sherlock, while putting on his scarf,  looks at John and continues: "" Wasn't that difficult a leap.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
229,,11:30,11:32,690,692,"John asks: ""How did you know about Afghanistan?""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
230,,11:32,11:40,692,700,"Sherlock picks up his phone, checks it and walks toward John as he says: ""Got my eye on nice little place in central London. Together we ought to be able to afford it."" (he pauses in front of John) ""We'll meet there tomorrow evening at seven. Sorry-gotta dash.""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Over the Shoulder,,Yes,,,4,+
231,,11:40,11:42,700,702,"Sherlock walks toward the door past John as he says: ""I think I left my riding crop in the mortuary."" John looks puzzled.", ,,Indoor,M,"Sherlock, John","Sherlock, John",Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
232,,11:42,11:44,702,704,"John turns toward Sherlock and asks: ""Is that it?""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
233,,11:44,11:46,704,706,"Sherlock turns back from the door and strolls closer to John and says: ""Is that what?""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
234,,11:46,11:48,706,708,"John says: ""we have only just met and we're gonna go and look at a flat?""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
235,,11:48,11:50,708,710,"Sherlock looks in Mike's direction then back at John and says: ""Problem?""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,"Over the Shoulder, Medium",,Yes,,,4,+
236,,11:50,11:51,710,711,John smiles incredulously and looks at Mike. , ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
237,,11:51,11:53,711,713,Mike stares at Sherlock with a smug smile. , ,,Indoor,G,Mike,Mike,Mike,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
238,,11:53,11:57,713,717,"John turns back to Sherlock and says: ""We don't know a thing about each other; I don't know where we're meeting; I don't even know your name.""", ,,Indoor,M,John,John,John,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
239,,11:57,11:59,717,719,Sherlock pauses and looks closely at John, ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,4,+
240,,11:59,12:07,719,727,"Sherlock looks intently at John and says very quickly and precisely: "" I know you are an Army doctor and you have been invalided home from Afghanistan. I know you have got a brother who is worried about you, but you won't go to him for help because you don't approve of him - possibly because he's an alcoholic...""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
241,,12:07,12:09,727,729,"John looks dumbfounded and stares at Sherlock as Sherlock continues ""….more likely because he recently walked out on his wife.""", ,,Indoor,M,"Sherlock, John",John,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
242,,12:09,12:11,729,731,"Shot of Sherlock as he continues: ""…And I know that your therapist thinks your limp is psychosomatic…"" Sherlock glances down at John's legs. ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
243,,12:11,12:13,731,733,"John also glances down at his legs and cane and shuffles his feet awkwardly. Sherlock says: ""Quite correctly, I'm afraid."" ", ,,Indoor,M,"John, Sherlock",John,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,"Over the Shoulder, Medium",,Yes,,,5,+
244,,12:13,12:16,733,736,"Sherlock smugly says: ""That's enough to be going on with, don't you think?"". He walks toward the door to leave. ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
245,,12:16,12:19,736,739,"John stands still awkwardly. The sound of the door closing and Sherlock leaving is heard, shortly followed by the sound of it re-opening. ", ,,Indoor,M,John,John,,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
246,,12:19,12:24,739,744,"Sherlock leans back into the room and says to John: "" The name's Sherlock Holmes and the address is two two one B Baker street."" He click-winks at John. ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
247,,12:24,12:25,744,745,"Sherlock looks at Mike and says: ""Afternoon."" He then exits the room.", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
248,,12:25,12:26,745,746,Mike raises a finger in farewell as the door shuts behind Sherlock. , ,,Indoor,G,Mike,Mike,,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
249,,12:26,12:30,746,750,John stares at Sherlock leaving and then looks round at Mike in disbelief., ,,Indoor,M,John,John,,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
250,,12:30,12:32,750,752,"Mike smiles and nods says: ""Yup (nod), he's always like that.""", ,,Indoor,G,Mike,Mike,Mike,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,Yes,,,5,+
251,,12:32,12:36,752,756,Shot of John awkwardly shiting his weight with his cane. , ,,Indoor,M,John,John,,Indoor,St. Bartholomew's Hospital Laboratory,Long ,,Yes,,,5,+
252,,12:36,12:39,756,759,Shot of London , ,,Outdoor,N,Nobody,,,Outdoor,London,Landscape,,Yes,,,2,+
253,John's Room - Sherlock Background check ,12:39,12:43,759,763,Shot of John's bed. John goes to his bed. ,"15. John goes back to his place, takes a look at the text Sherlock sent using his phone, and searches ""Sherlock Holmes"" on a search engine.View of a woman dressed in pink reaching for pills in a small glass bottle, the same as the last three people. ",17. Watson looks up holmes,Indoor,M,John,John,,Indoor,John's Room,Medium,,Yes,Jump,2,2,+
254,,12:43,12:47,763,767,John sits down on his bed and blankly stares straight ahead. ,Segment 253-262,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,2,+
255,,12:47,12:52,767,772,"John reaches into his left pocket, takes out his phone, and goes to the Messages - Received menu on his phone. ", ,,Indoor,M,John,John,,Indoor,John's Room,Medium,Messages - Received ,No,,,2,+
256,,12:52,12:56,772,776,John selects the Messages - Sent menu and reads the message Sherlock sent using his phone earlier. It reads: If brother has green ladder arrest brother. SH, ,,Indoor,M,John,John,,Indoor,John's Room,Medium,Messages - Sent. If brother has green ladder arrest brother. SH,No,,,2,+
257,,12:56,12:59,776,779,"John looks back up from his phone, glances at his laptop on his desk", ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,2,+
258,,12:59,13:01,779,781,John gets up from his bed with his cane. , ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,3,+
259,,13:01,13:04,781,784,"A shot of the website Quest. ""Sherlock"" is being typed onto the search website. ", ,,Indoor,N,Nobody,,,Indoor,John's Room,Close Up,,Yes,,,3,+
260,,13:04,13:05,784,785,John is at his desk typing on his laptop., ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,Yes,,,3,+
261,,13:05,13:09,785,789,"Back to the shot of the website. ""Sherlock Holmes"" is now being typed. ", ,,Indoor,N,Nobody,,,Indoor,John's Room,Close Up,,Yes,,,3,+
262,Woman in Pink Grabs Pills,13:09,13:21,789,801,"A woman wearing a pink overcoat and pink high-heeled shoes slowly reaches down with a trembling hand with pink fingernails towards a clear glass bottle which is standing on the bare floorboards and which contains three large capsules. Her fingers close around the bottle and she slowly lifts it off the floor, her hand still shaking.",16. A woman in an entirely pink outfit is seen reaching down toward a glass vial with shaking hands. Her location is unknown. Segment 262,18. Poison Vial #4,Indoor,M,Jennifer Wilson,,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Low,,Yes,Jump,3,4,-
263,Outside of 221B Baker Street,13:21,13:30,801,810,"Continuous shot as a sign that says: ""Baker Street W1, City of Westminister"" appears and then camera pans to the left to show John walking with his cane while a black taxi pulls up on the side of the road. ","17. Sherlock and John arrive in front of 221B Baker Street the next day and meet the landlady, Mrs. Hudson. They go inside the building to take a look at their new place.",19. Flat exploration ,Outdoor,M,"Sherlock, John","Sherlock, John",,Outdoor,Baker Street,"Sequence, Steadicam",,Yes,Jump,3,3,+
264,,13:30,13:36,810,816,"Sherlock comes out of the taxi as John approaches the building and knocks on 221B Baker street,  next to a Cafe - Sandwich Bar and Cafe ",Segment 263-276,,Outdoor,M,"Sherlock, John","Sherlock, John",,Outdoor,Baker Street,"Sequence, Steadicam, Long",,Yes,,,3,+
265,,13:36,13:38,816,818,"John knocks on the door that says: ""221 B"" as Sherlock closes the taxi door and says: ""Hello."" Sherlock reaches in through the window of the cab and hands some money to the driver then says a quick: ""Thank you."" ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,Baker Street,"Sequence, Steadicam, Long",,Yes,,,3,+
266,,13:38,13:40,818,820,"John turns around toward Sherlock and says : ""Ah, Mr. Holmes.""", ,,Outdoor,M,"Sherlock, John","Sherlock, John",John,Outdoor,Baker Street,"Sequence, Steadicam, Long",,No,,,3,+
267,,13:40,13:42,820,822,"Sherlock walks toward John and says: ""Sherlock, please."" The two shake hands. ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,Baker Street,"Sequence, Steadicam, Long",,No,,,3,+
268,,13:42,13:44,822,824,"John looks at the door, then looks around the area and says: ""Well, this is a prime spot. Must be expensive."" Sherlock looks around as well with his hands behind his back. ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",John,Outdoor,Baker Street,"Sequence, Steadicam, Long",,No,,,3,+
269,,13:44,13:53,824,833,"Sherlock has his hands behind his back while he looks around the street and says: ""Oh, Mrs. Hudson, the landlady, she is giving me a special deal. Owes me a favour. A few years back, her husband got himself sentenced to death in Florida. I was able to help out."" ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
270,,13:53,13:56,833,836,"John: ""Sorry - you stopped her husband being executed?""", ,,Outdoor,M,"Sherlock, John","Sherlock, John",John,Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
271,,13:56,13:58,836,838,"Sherlock says: ""Oh no, I ensured it."" and smiles at John. ", ,,Outdoor,M,"Sherlock, John","Sherlock, John",Sherlock,Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
272,,13:58,14:01,838,841,"Mrs. Hudson opens the door, smiles and says: ""Sherlock, Hello."" Sherlock turns and walks into her arms, hugging her briefly, then steps back. ", ,,Outdoor,"M, G","Sherlock, John, Mrs. Hudson","Sherlock, John, Mrs. Hudson",Mrs. Hudson,Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
273,,14:01,14:03,841,843,"Sherlock presents John to Mrs. Hudson and says: ""Mrs. Hudson, Dr. John Watson."" ", ,,Outdoor,"M, G","Sherlock, John, Mrs. Hudson","Sherlock, John, Mrs. Hudson",Sherlock,Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
274,,14:03,14:05,843,845,"Mrs. Hudson says a warm ""Hello"" to John. John says: ""How do?"" Mrs. Hudson gestures John inside and says: ""Come in."" John says: ""Thank you"" and goes in the building. ", ,,Outdoor,"M, G","Sherlock, John, Mrs. Hudson","Sherlock, John, Mrs. Hudson","John, Mrs. Hudson",Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
275,,14:05,14:10,845,850,"Sherlock says: ""Shall we?"" and follows behind John inside the house with his hands behind his back. Mrs. Hudson closes the door behind them. ", ,,Outdoor,"M, G","Sherlock, John, Mrs. Hudson","Sherlock, John, Mrs. Hudson",Sherlock,Outdoor,Baker Street,"Sequence, Steadicam, Medium ",,No,,,3,+
276,,14:10,14:13,850,853,A view of the door that says: 221B, ,,Outdoor,N,Nobody,,,Outdoor,Baker Street,"Sequence, Steadicam",,Yes,,,4,+
277,Viewing the new flat,14:13,14:17,853,857,"Sherlock trots up the stairs to the first floor landing, then pauses and waits for John.","18. Sherlock and John look around their new flat. Sherlock starts tidying up his things that he has already brought in the flat. Mrs. Hudson keeps implying that Sherlock and John are a couple, to John's annoyance, but Sherlock is oblivious to the notion. ", ,Indoor,M,Sherlock,Sherlock,,Indoor,221B Baker Street Stairway,Medium,,Yes,Jump,1,4,+
278,,14:17,14:20,857,860,John hobbles up the stairs. ,Segment 277-298,,Indoor,M,John,John,,Indoor,221B Baker Street Stairway,Medium,,Yes,,,4,+
279,,14:20,14:28,860,868,Sherlock opens the door for John and they both go in. John takes time to look around the flat. , ,,Indoor,M,"Sherlock, John","Sherlock, John",,Indoor,221B Baker Street Stairway,Medium,,Yes,,,3,+
280,,14:28,14:32,868,872,John's point of view as he looks around the room. It is quite messy and there are boxes everywhere. , ,,Indoor,N,Nobody,,,Indoor,221B Baker Street Suite ,Point of View,,No,,,2,+
281,,14:32,14:37,872,877,"John walks around the room and heads toward the kitchen as he says: ""Well, this could be very nice. Very nice indeed.""", ,,Indoor,M,John,John,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
282,,14:37,14:42,877,882,"Sherlock also looks around the flat happily and says: ""Yes. Yes, I think so. My thoughts precisely.""", ,,Indoor,M,"Sherlock, John","Sherlock, John",Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
283,,14:42,14:44,882,884,"Sherlock: ""So I went straight ahead and moved in."" John simultaneously says: ""Soon as we get all this rubbish cleaned out…"" ", ,,Indoor,M,"Sherlock, John","Sherlock, John","Sherlock, John",Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
284,,14:44,14:46,884,886,"John and Sherlock awkwardly look at each other and John says: ""Oh.""", ,,Indoor,M,"Sherlock, John","Sherlock, John",John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
285,,14:46,14:48,886,888,Sherlock walks across the room and makes a half-hearted attempt to tidy up a little., ,,Indoor,M,Sherlock,Sherlock,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
286,,14:48,14:53,888,893,"John trails off: ""So this is all…"" as Sherlock says: ""Well, obviously I can, um, straighten things up a bit."" Sherlock throws a couple of folders into a box and then takes some apparently unopened envelopes across to the fireplace where he puts them onto the mantelpiece and then stabs a multi-tool knife into them.", ,,Indoor,M,"Sherlock, John",Sherlock,"Sherlock, John",Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
287,,14:53,14:54,893,894,"John points to something on the mantelpiece with his cane and says: ""It's a skull.""", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
288,,14:54,14:58,894,898,"Sherlock awkwardly looks at the skull and says: ""Friend of mine."" Then trails off: ""When I say friend…"" as he moves across the room", ,,Indoor,,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
289,,14:58,15:05,898,905,"Mrs. Hudson walks into the room and says to John: ""What do you think, then, Doctor Watson? There's another bedroom upstairs if you will be needing two bedrooms."" while Sherlock walks across; removing his coat and scarf. ", ,,Indoor,"M, G","Sherlock, Mrs. Hudson","Sherlock, Mrs. Hudson",Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
290,,15:05,15:06,905,906,"John says: ""Of course we'll be needing two."" with a puzzled look.", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
291,,15:06,15:11,906,911,"Mrs Hudson: ""Oh, don't worry; there's all sorts round here."" (Dropping her voice confidentially) ""Mrs Turner next door's got married ones.""", ,,Indoor,G,Mrs. Hudson,Mrs. Hudson,Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
292,,15:11,15:12,911,912,"John has an incredulous look as he looks from Mrs. Hudson round to Sherlock, expecting him to confirm that he and John are not involved in that way. ", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
293,,15:12,15:14,912,914,Sherlock is seen organizing books from boxes onto a bookshelf. He seems oblivious to what is being insinuated by Mrs. Hudson. , ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
294,,15:14,15:15,914,915,"Mrs. Hudson looks back round to Sherlock as she is walking toward the kitchen and says: ""Oh, Sherlock…""", ,,Indoor,G,Mrs. Hudson,Mrs. Hudson,Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
295,,15:15,15:16,915,916,Sherlock looks up from his organizing work at Mrs. Hudson. , ,,Indoor,M,Sherlock,Sherlock,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
296,,15:16,15:18,916,918,"Mrs. Hudson continues in a motherly tone: ""The mess you have made…"" Then she starts tidying up the kitchen. ", ,,Indoor,G,Mrs. Hudson,Mrs. Hudson,Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
297,,15:18,15:23,918,923,"John walks over to one of the two armchairs, plumps up a cushion on the chair and then drops heavily down into it. He looks across to Sherlock who is still tidying up a little.", ,,Indoor,M,John,John,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
298,,15:23,15:25,923,925,Sherlock stops to open up his laptop while walking around and tidying up. , ,20. Science of deduction conversation,Indoor,M,Sherlock,Sherlock ,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
299,,15:25,15:26,925,926,"John says to Sherlock: ""I looked you up on the internet last night.""",19. John tells Sherlock that he took a look at Sherlock's deduction website. Sherlock explains what he can do by deduction., ,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
300,,15:26,15:30,926,930,"Sherlock stops his work and puts his hands into his pant pockets and nonchalantly asks: ""Anything interesting?""",Segment 299-310,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
301,,15:30,15:33,930,933,"John: ""Found your website, The Science of Deduction.""", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
302,,15:33,15:34,933,934,"Sherlock, with a proud smile, asks: ""What did you think?""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
303,,15:34,15:35,934,935,"John throws him a ""you have got to be kidding me type of look.""", ,,Indoor,M,John,John,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
304,,15:35,15:37,935,937,Sherlock looks surprised and a little hurt at the same time. , ,,Indoor,M,Sherlock,Sherlock,,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
305,,15:37,15:41,937,941,"John looks up at Sherlock and explains: ""You said you could identify a software designer by his tie and an airplane pilot by his left thumb.""", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
306,,15:41,15:45,941,945,"Sherlock replies: ""Yes, and I can read your military career in your face and your leg…""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
307,,15:45,15:49,945,949,"John looks up and stares at Sherlock intently as Sherlock finishes saying: ""…and your brother's drinking habits in your mobile phone."" John continues to stare at him in disbelief.", ,,Indoor,M,"John, Sherlock",John,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
308,,15:49,15:50,949,950,"John breaks the silence by asking: ""How?""", ,,Indoor,M,John,John,John,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
309,,15:50,15:51,950,951,"Sherlock smiles, ignores John's question and turns round to go back to his work tidying up. ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,No,,,3,+
310,,15:51,15:53,951,953,"Mrs. Hudson comes out of the kitchen and asks: ""What about these suicides then, Sherlock?""", ,21. Suicides in news,Indoor,G,Mrs. Hudson,Mrs. Hudson,Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,No,,,4,+
311,,15:53,15:57,953,957,"Sherlock is staring out at the window while Mrs. Hudson continues in the background: ""I thought that would be right up your street. Three exactly the same.""",20. Mrs. Hudson mentions the recent serial suicides when a police car shows up in front of the building and Lestrade comes up to ask Sherlock for help looking into the fourth victim. Sherlock acts nonchalant in front of Lestrade but expresses his joy for the exciting case once Lestrade leaves. Sherlock leaves the room. , ,Indoor,"M, G","Sherlock, Mrs. Hudson",Sherlock,Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
312,,15:57,16:00,957,960,"Sherlock walks closer to the living room window at the sound of a car pulling up outside and stares outside. He says: ""Four.""",Segment 311-337,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
313,,16:00,16:03,960,963,"View of police car with its lights flashing parked outside 221B Baker Street through the window in Sherlock's viewpoint. Someone gets out of the police car. Sherlock says: ""There's been a fourth. And there's something different this time.""", ,,Indoor,M,Sherlock ,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Point of View,,Yes,,,4,+
314,,16:03,16:05,963,965,"Sherlock turns around toward to the door. Mrs. Hudson asks: ""A fourth?""", ,"22. ""4th suicide""",Indoor,"M, G","Sherlock, Mrs. Hudson",Sherlock,Mrs. Hudson,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
315,New Aspect of the Serial Murder Case,16:05,16:07,965,967,D.I. Lestrade trots up the stairs and comes into the living room through the open room door. , ,,Indoor,G,Lestrade,Lestrade,,Indoor,221B Baker Street Suite ,Long,,Yes,,,4,+
316,,16:07,16:08,967,968,"Sherlock asks: ""Where?"" with a concerned look.", ,,Indoor,M,Sherlock,Sherlock,Sherloc,Indoor,221B Baker Street Suite ,Close Up,,Yes,,,4,+
317,,16:08,16:10,968,970,"Lestrade replies: ""Brixton, Lauriston Gardens.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
318,,16:10,16:13,970,973,"Sherlock states: ""What's new about this one? You wouldn't have come to be if there wasn't something different.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,221B Baker Street Suite ,Medium,,Yes,,,4,+
